id,enabled,pack,chapter,type,level,en,zh,tags,note
eng_glo_b1_l06_001,TRUE,glo_b1,l06,word,1,six,六,thing,
eng_glo_b1_l06_002,TRUE,glo_b1,l06,word,1,basket,籃子,thing,
eng_glo_b1_l06_003,TRUE,glo_b1,l06,word,1,chair,椅子,thing,
eng_glo_b1_l06_004,TRUE,glo_b1,l06,word,1,desk,書桌,thing,
eng_glo_b1_l06_005,TRUE,glo_b1,l06,word,1,umbrella,傘,thing,
eng_glo_b1_l06_006,TRUE,glo_b1,l06,word,1,bicycle,腳踏車,thing,
eng_glo_b1_l06_007,TRUE,glo_b1,l06,word,1,pencil case,鉛筆盒,school,
eng_glo_b1_l06_008,TRUE,glo_b1,l06,word,1,grade,年級,school,
eng_glo_b1_l07_001,TRUE,glo_b1,l07,word,1,seven,七,thing,
eng_glo_b1_l07_002,TRUE,glo_b1,l07,word,1,boy,男孩,people,
eng_glo_b1_l07_003,TRUE,glo_b1,l07,word,1,brother,兄弟,people,
eng_glo_b1_l07_004,TRUE,glo_b1,l07,word,1,girl,女孩,people,
eng_glo_b1_l07_005,TRUE,glo_b1,l07,word,1,my,我的,word,
eng_glo_b1_l07_006,TRUE,glo_b1,l07,phrase,1,look out,小心,action,
eng_glo_b1_l07_007,TRUE,glo_b1,l07,word,1,that,那,word,
eng_glo_b1_l07_008,TRUE,glo_b1,l07,word,1,with,和……一起,word,
eng_glo_b1_l08_001,TRUE,glo_b1,l08,word,1,eight,八,thing,
eng_glo_b1_l08_002,TRUE,glo_b1,l08,word,1,man,男人,people,
eng_glo_b1_l08_003,TRUE,glo_b1,l08,word,1,sister,姊妹,people,
eng_glo_b1_l08_004,TRUE,glo_b1,l08,word,1,woman,女人,people,
eng_glo_b1_l08_005,TRUE,glo_b1,l08,word,1,he,他,word,
eng_glo_b1_l08_006,TRUE,glo_b1,l08,word,1,father,父親,people,
eng_glo_b1_l08_007,TRUE,glo_b1,l08,word,1,mother,母親,people,
eng_glo_b1_l08_008,TRUE,glo_b1,l08,word,1,name,名字,word,
eng_glo_b1_l09_001,TRUE,glo_b1,l09,word,1,nine,九,thing,
eng_glo_b1_l09_002,TRUE,glo_b1,l09,word,1,hello,哈囉,word,
eng_glo_b1_l09_003,TRUE,glo_b1,l09,word,1,hungry,飢餓的,feel,
eng_glo_b1_l09_004,TRUE,glo_b1,l09,word,1,ready,準備好了,feel,
eng_glo_b1_l09_005,TRUE,glo_b1,l09,word,1,tea,茶,thing,
eng_glo_b1_l09_006,TRUE,glo_b1,l09,word,1,very,非常,word,
eng_glo_b1_l09_007,TRUE,glo_b1,l09,word,1,I,我,word,
eng_glo_b1_l09_008,TRUE,glo_b1,l09,word,1,hi,嗨,word,
eng_glo_b1_l10_001,TRUE,glo_b1,l10,word,1,ten,十,thing,
eng_glo_b1_l10_002,TRUE,glo_b1,l10,word,1,dirty,髒的,feel,
eng_glo_b1_l10_003,TRUE,glo_b1,l10,word,1,cold,冷的,feel,
eng_glo_b1_l10_004,TRUE,glo_b1,l10,word,1,sleeping,在睡覺,action,
eng_glo_b1_l10_005,TRUE,glo_b1,l10,word,1,hot,熱的,feel,
eng_glo_b1_l10_006,TRUE,glo_b1,l10,word,1,drinking,在喝,action,
eng_glo_b1_l10_007,TRUE,glo_b1,l10,word,1,tired,累的,feel,
eng_glo_b1_l10_008,TRUE,glo_b1,l10,word,1,eating,在吃,action,
eng_glo_b1_l11_001,TRUE,glo_b1,l11,word,1,eleven,十一,thing,
eng_glo_b1_l11_002,TRUE,glo_b1,l11,word,1,car,車子,thing,
eng_glo_b1_l11_003,TRUE,glo_b1,l11,word,1,in,在…裡面,word,
eng_glo_b1_l11_004,TRUE,glo_b1,l11,word,1,nice,很好的,feel,
eng_glo_b1_l11_005,TRUE,glo_b1,l11,word,1,on,在…上面,word,
eng_glo_b1_l11_006,TRUE,glo_b1,l11,word,1,picture,圖片；照片,thing,
eng_glo_b1_l11_007,TRUE,glo_b1,l11,pattern,1,what is,什麼是,word,
eng_glo_b1_l11_008,TRUE,glo_b1,l11,pattern,1,who is,誰是,word,
eng_glo_b1_l12_001,TRUE,glo_b1,l12,word,1,twelve,十二,thing,
eng_glo_b1_l12_002,TRUE,glo_b1,l12,word,1,black,黑色,thing,
eng_glo_b1_l12_003,TRUE,glo_b1,l12,word,1,gray,灰色,thing,
eng_glo_b1_l12_004,TRUE,glo_b1,l12,word,1,table,桌子,thing,
eng_glo_b1_l12_005,TRUE,glo_b1,l12,word,1,white,白色,thing,
eng_glo_b1_l12_006,TRUE,glo_b1,l12,word,1,breakfast,早餐,thing,
eng_glo_b1_l12_007,TRUE,glo_b1,l12,word,1,lunch,午餐,thing,
eng_glo_b1_l12_008,TRUE,glo_b1,l12,word,1,dinner,晚餐,thing,
eng_glo_b1_l13_001,TRUE,glo_b1,l13,word,1,thirteen,十三,thing,
eng_glo_b1_l13_002,TRUE,glo_b1,l13,word,1,a / an,一個,word,
eng_glo_b1_l13_003,TRUE,glo_b1,l13,word,1,eat,吃,action,
eng_glo_b1_l13_004,TRUE,glo_b1,l13,word,1,egg,蛋,thing,
eng_glo_b1_l13_005,TRUE,glo_b1,l13,word,1,dish,盤子,thing,
eng_glo_b1_l13_006,TRUE,glo_b1,l13,word,1,empty,空的,feel,
eng_glo_b1_l13_007,TRUE,glo_b1,l13,word,1,listen,聽,action,
eng_glo_b1_l13_008,TRUE,glo_b1,l13,word,1,put,放,action,
eng_glo_b1_l14_001,TRUE,glo_b1,l14,word,1,fourteen,十四,thing,
eng_glo_b1_l14_002,TRUE,glo_b1,l14,word,1,apple,蘋果,thing,
eng_glo_b1_l14_003,TRUE,glo_b1,l14,word,1,eggcup,蛋杯,thing,
eng_glo_b1_l14_004,TRUE,glo_b1,l14,word,1,orange,柳橙,thing,
eng_glo_b1_l14_005,TRUE,glo_b1,l14,word,1,school,學校,school,
eng_glo_b1_l14_006,TRUE,glo_b1,l14,word,1,ice cream,冰淇淋,thing,
eng_glo_b1_l14_007,TRUE,glo_b1,l14,word,1,gift,禮物,thing,
eng_glo_b1_l14_008,TRUE,glo_b1,l14,word,1,ice cream cone,冰淇淋甜筒,thing,
eng_glo_b1_l15_001,TRUE,glo_b1,l15,word,1,fifteen,十五,thing,
eng_glo_b1_l15_002,TRUE,glo_b1,l15,word,1,actor,男演員,people,
eng_glo_b1_l15_003,TRUE,glo_b1,l15,word,1,actress,女演員,people,
eng_glo_b1_l15_004,TRUE,glo_b1,l15,word,1,funny,有趣的,feel,
eng_glo_b1_l15_005,TRUE,glo_b1,l15,word,1,hat,帽子,thing,
eng_glo_b1_l15_006,TRUE,glo_b1,l15,word,1,knock,敲（門）,action,
eng_glo_b1_l15_007,TRUE,glo_b1,l15,phrase,1,put on,穿上；戴上,action,
eng_glo_b1_l15_008,TRUE,glo_b1,l15,word,1,shoe,鞋子,thing,
eng_glo_b1_l16_001,TRUE,glo_b1,l16,word,1,sixteen,十六,thing,
eng_glo_b1_l16_002,TRUE,glo_b1,l16,word,1,cat,貓,thing,
eng_glo_b1_l16_003,TRUE,glo_b1,l16,word,1,dog,狗,thing,
eng_glo_b1_l16_004,TRUE,glo_b1,l16,word,1,mailman,郵差,people,
eng_glo_b1_l16_005,TRUE,glo_b1,l16,word,1,policeman,警察,people,
eng_glo_b1_l16_006,TRUE,glo_b1,l16,word,1,policewoman,女警察,people,
eng_glo_b1_l16_007,TRUE,glo_b1,l16,word,1,schoolboy,男學生,people,
eng_glo_b1_l16_008,TRUE,glo_b1,l16,word,1,schoolgirl,女學生,people,
eng_glo_b1_l17_001,TRUE,glo_b1,l17,word,1,seventeen,十七,thing,
eng_glo_b1_l17_002,TRUE,glo_b1,l17,word,1,fat,胖的,feel,
eng_glo_b1_l17_003,TRUE,glo_b1,l17,word,1,give,給,action,
eng_glo_b1_l17_004,TRUE,glo_b1,l17,word,1,name,名字,word,
eng_glo_b1_l17_005,TRUE,glo_b1,l17,word,1,new,新的,feel,
eng_glo_b1_l17_006,TRUE,glo_b1,l17,word,1,which,哪一個,word,
eng_glo_b1_l17_007,TRUE,glo_b1,l17,word,1,tall,高的,feel,
eng_glo_b1_l17_008,TRUE,glo_b1,l17,word,1,short,矮的；短的,feel,
eng_glo_b1_l18_001,TRUE,glo_b1,l18,word,1,eighteen,十八,thing,
eng_glo_b1_l18_002,TRUE,glo_b1,l18,word,1,lazy,懶惰的,feel,
eng_glo_b1_l18_003,TRUE,glo_b1,l18,word,1,clever,聰明的,feel,
eng_glo_b1_l18_004,TRUE,glo_b1,l18,word,1,thin,瘦的；薄的,feel,
eng_glo_b1_l18_005,TRUE,glo_b1,l18,word,1,old,老的；舊的,feel,
eng_glo_b1_l18_006,TRUE,glo_b1,l18,word,1,young,年輕的,feel,
eng_glo_b1_l18_007,TRUE,glo_b1,l18,word,1,handsome,帥氣的,feel,
eng_glo_b1_l18_008,TRUE,glo_b1,l18,word,1,beautiful,美麗的,feel,
eng_glo_b1_l19_001,TRUE,glo_b1,l19,word,1,nineteen,十九,thing,
eng_glo_b1_l19_002,TRUE,glo_b1,l19,word,1,see,看,action,
eng_glo_b1_l19_003,TRUE,glo_b1,l19,word,1,open,打開,action,
eng_glo_b1_l19_004,TRUE,glo_b1,l19,word,1,banana,香蕉,thing,
eng_glo_b1_l19_005,TRUE,glo_b1,l19,word,1,it,它；牠,word,
eng_glo_b1_l19_006,TRUE,glo_b1,l19,word,1,P.E.,體育,school,
eng_glo_b1_l19_007,TRUE,glo_b1,l19,word,1,bag,袋子；書包,thing,
eng_glo_b1_l19_008,TRUE,glo_b1,l19,word,1,math,數學,school,
eng_glo_b1_l20_001,TRUE,glo_b1,l20,word,1,big,大的,feel,
eng_glo_b1_l20_002,TRUE,glo_b1,l20,word,1,small,小的,feel,
eng_glo_b1_l20_003,TRUE,glo_b1,l20,word,1,heavy,重的,feel,
eng_glo_b1_l20_004,TRUE,glo_b1,l20,word,1,light,輕的,feel,
eng_glo_b1_l20_005,TRUE,glo_b1,l20,word,1,long,長的,feel,
eng_glo_b1_l20_006,TRUE,glo_b1,l20,word,1,full,滿的,feel,
eng_glo_b1_l20_007,TRUE,glo_b1,l20,word,1,thick,厚的,feel,
eng_glo_b1_l20_008,TRUE,glo_b1,l20,word,1,empty,空的,feel,
eng_glo_b1_l21_001,TRUE,glo_b1,l21,word,1,come,來,action,
eng_glo_b1_l21_002,TRUE,glo_b1,l21,word,1,my,我的,word,
eng_glo_b1_l21_003,TRUE,glo_b1,l21,word,1,side,邊,thing,
eng_glo_b1_l21_004,TRUE,glo_b1,l21,word,1,pull,拉,action,
eng_glo_b1_l21_005,TRUE,glo_b1,l21,word,1,or,或者,word,
eng_glo_b1_l21_006,TRUE,glo_b1,l21,word,1,nationality,國籍,word,
eng_glo_b1_l21_007,TRUE,glo_b1,l21,word,1,German,德國的；德國人；德文,word,
eng_glo_b1_l21_008,TRUE,glo_b1,l21,word,1,French,法國的；法國人；法文,word,
eng_glo_b1_l22_001,TRUE,glo_b1,l22,word,1,flag,旗子,thing,
eng_glo_b1_l22_002,TRUE,glo_b1,l22,word,1,American,美國的；美國人,word,
eng_glo_b1_l22_003,TRUE,glo_b1,l22,word,1,Italian,義大利的；義大利人；義大利文,word,
eng_glo_b1_l22_004,TRUE,glo_b1,l22,word,1,English,英國的；英國人；英文,word,
eng_glo_b1_l22_005,TRUE,glo_b1,l22,word,1,England,英國,thing,
eng_glo_b1_l22_006,TRUE,glo_b1,l22,word,1,Germany,德國,thing,
eng_glo_b1_l22_007,TRUE,glo_b1,l22,word,1,France,法國,thing,
eng_glo_b1_l22_008,TRUE,glo_b1,l22,word,1,Italy,義大利,thing,
eng_glo_b1_l23_001,TRUE,glo_b1,l23,word,1,box,盒子,thing,
eng_glo_b1_l23_002,TRUE,glo_b1,l23,word,1,one,一個,thing,
eng_glo_b1_l23_003,TRUE,glo_b1,l23,word,1,me,我,word,
eng_glo_b1_l23_004,TRUE,glo_b1,l23,word,1,not,不,word,
eng_glo_b1_l23_005,TRUE,glo_b1,l23,word,1,Jack-in-the-box,驚喜盒,thing,
eng_glo_b1_l23_006,TRUE,glo_b1,l23,word,1,language,語言,school,
eng_glo_b1_l23_007,TRUE,glo_b1,l23,word,1,speak,說,action,
eng_glo_b1_l23_008,TRUE,glo_b1,l23,word,1,place,地方,thing,
eng_glo_b1_l24_001,TRUE,glo_b1,l24,word,1,cup,杯子,thing,
eng_glo_b1_l24_002,TRUE,glo_b1,l24,word,1,get,得到,action,
eng_glo_b1_l24_003,TRUE,glo_b1,l24,word,1,get up,起床,action,
eng_glo_b1_l24_004,TRUE,glo_b1,l24,word,1,visit,拜訪,action,
eng_glo_b1_l24_005,TRUE,glo_b1,l24,phrase,1,come from,來自,action,
eng_glo_b1_l24_006,TRUE,glo_b1,l24,word,1,Taiwan,台灣,thing,
eng_glo_b1_l24_007,TRUE,glo_b1,l24,word,1,country,國家；鄉下,thing,
eng_glo_b1_l24_008,TRUE,glo_b1,l24,word,1,city,城市,thing,
eng_glo_b1_l25_001,TRUE,glo_b1,l25,word,1,at,在,word,
eng_glo_b1_l25_002,TRUE,glo_b1,l25,word,1,bill,帳單,thing,
eng_glo_b1_l25_003,TRUE,glo_b1,l25,word,1,door,門,thing,
eng_glo_b1_l25_004,TRUE,glo_b1,l25,word,1,letter,信,thing,
eng_glo_b1_l25_005,TRUE,glo_b1,l25,pattern,1,there is,有,word,
eng_glo_b1_l25_006,TRUE,glo_b1,l25,pattern,1,how many,多少,word,
eng_glo_b1_l25_007,TRUE,glo_b1,l25,word,1,room,房間,thing,
eng_glo_b1_l25_008,TRUE,glo_b1,l25,word,1,house,房子,thing,
eng_glo_b1_l26_001,TRUE,glo_b1,l26,word,1,near,在…附近,word,
eng_glo_b1_l26_002,TRUE,glo_b1,l26,word,1,shop,商店,thing,
eng_glo_b1_l26_003,TRUE,glo_b1,l26,word,1,street,街道,thing,
eng_glo_b1_l26_004,TRUE,glo_b1,l26,word,1,cheese,起司,thing,
eng_glo_b1_l26_005,TRUE,glo_b1,l26,word,1,sandwich,三明治,thing,
eng_glo_b1_l26_006,TRUE,glo_b1,l26,word,1,make,做,action,
eng_glo_b1_l26_007,TRUE,glo_b1,l26,word,1,ketchup,蕃茄醬,thing,
eng_glo_b1_l26_008,TRUE,glo_b1,l26,word,1,beef,牛肉,thing,
eng_glo_b1_l26_009,TRUE,glo_b1,l26,word,1,tomato,蕃茄,thing,
eng_glo_b1_l26_010,TRUE,glo_b1,l26,word,1,yummy,美味的,feel,
eng_glo_b1_l27_001,TRUE,glo_b1,l27,word,1,color,顏色,thing,
eng_glo_b1_l27_002,TRUE,glo_b1,l27,word,1,locker,櫃子,thing,
eng_glo_b1_l27_003,TRUE,glo_b1,l27,word,1,these,這些,word,
eng_glo_b1_l27_004,TRUE,glo_b1,l27,word,1,flag,旗子,thing,
eng_glo_b1_l27_005,TRUE,glo_b1,l27,word,1,Thank you,謝謝你,word,
eng_glo_b1_l27_006,TRUE,glo_b1,l27,word,1,P.E. teacher,體育老師,school,
eng_glo_b1_l27_007,TRUE,glo_b1,l27,word,1,box,盒子,thing,
eng_glo_b1_l27_008,TRUE,glo_b1,l27,word,1,fish,魚,thing,
eng_glo_b1_l27_009,TRUE,glo_b1,l27,word,1,floor,地板,thing,
eng_glo_b1_l27_010,TRUE,glo_b1,l27,word,1,sleep,睡覺,action,
eng_glo_b1_l28_001,TRUE,glo_b1,l28,word,1,on top of,在…的上面,word,
eng_glo_b1_l28_002,TRUE,glo_b1,l28,word,1,in back of,在…的後面,word,
eng_glo_b1_l28_003,TRUE,glo_b1,l28,word,1,next to,在…的旁邊,word,
eng_glo_b1_l28_004,TRUE,glo_b1,l28,word,1,in front of,在…的前面,word,
eng_glo_b1_l28_005,TRUE,glo_b1,l28,word,1,under,在…的下面,word,
eng_glo_b1_l28_006,TRUE,glo_b1,l28,word,1,spider,蜘蛛,thing,
eng_glo_b1_l28_007,TRUE,glo_b1,l28,word,1,time,時間,thing,
eng_glo_b1_l28_008,TRUE,glo_b1,l28,word,1,water,水,thing,
eng_glo_b1_l28_009,TRUE,glo_b1,l28,word,1,web,蜘蛛網,thing,
eng_glo_b1_l28_010,TRUE,glo_b1,l28,word,1,house,房子,thing,
eng_glo_b1_l29_001,TRUE,glo_b1,l29,word,1,at once,馬上,word,
eng_glo_b1_l29_002,TRUE,glo_b1,l29,word,1,clean,乾淨的；打掃,feel,
eng_glo_b1_l29_003,TRUE,glo_b1,l29,word,1,dirty,髒的,feel,
eng_glo_b1_l29_004,TRUE,glo_b1,l29,word,1,hands,手（複數）,thing,
eng_glo_b1_l29_005,TRUE,glo_b1,l29,word,1,now,現在,word,
eng_glo_b1_l29_006,TRUE,glo_b1,l29,word,1,show,展示,action,
eng_glo_b1_l29_007,TRUE,glo_b1,l29,word,1,they,他們,word,
eng_glo_b1_l29_008,TRUE,glo_b1,l29,word,1,towel,毛巾,thing,
eng_glo_b1_l29_009,TRUE,glo_b1,l29,word,1,wash,洗,action,
eng_glo_b1_l29_010,TRUE,glo_b1,l29,word,1,go,去,action,
eng_glo_b1_l30_001,TRUE,glo_b1,l30,word,1,thirty,三十,thing,
eng_glo_b1_l30_002,TRUE,glo_b1,l30,word,1,her,她的,word,
eng_glo_b1_l30_003,TRUE,glo_b1,l30,word,1,exercise book,練習本,school,
eng_glo_b1_l30_004,TRUE,glo_b1,l30,word,1,room,房間,thing,
eng_glo_b1_l30_005,TRUE,glo_b1,l30,word,1,mess,混亂,thing,
eng_glo_b1_l30_006,TRUE,glo_b1,l30,word,1,happy,快樂的,feel,
eng_glo_b1_l30_007,TRUE,glo_b1,l30,word,1,mad,生氣,feel,
eng_glo_b1_l30_008,TRUE,glo_b1,l30,word,1,put,放,action,
eng_glo_b1_l30_009,TRUE,glo_b1,l30,word,1,mom,媽媽,people,
eng_glo_b1_l30_010,TRUE,glo_b1,l30,word,1,clothes,衣服,thing,
eng_glo_b1_l31_001,TRUE,glo_b1,l31,word,1,coin,硬幣,thing,
eng_glo_b1_l31_002,TRUE,glo_b1,l31,word,1,heads,（錢幣）正面,thing,
eng_glo_b1_l31_003,TRUE,glo_b1,l31,word,1,our,我們的,word,
eng_glo_b1_l31_004,TRUE,glo_b1,l31,word,1,tails,（錢幣）反面,thing,
eng_glo_b1_l31_005,TRUE,glo_b1,l31,word,1,their,他們的,word,
eng_glo_b1_l31_006,TRUE,glo_b1,l31,word,1,favorite,最喜歡的,feel,
eng_glo_b1_l31_007,TRUE,glo_b1,l31,word,1,holiday,假日,thing,
eng_glo_b1_l31_008,TRUE,glo_b1,l31,word,1,grape,葡萄,thing,
eng_glo_b1_l31_009,TRUE,glo_b1,l31,word,1,grocery,雜貨店,thing,
eng_glo_b1_l31_010,TRUE,glo_b1,l31,word,1,hungry,飢餓的,feel,
eng_glo_b1_l32_001,TRUE,glo_b1,l32,word,1,its,它的；她的,word,
eng_glo_b1_l32_002,TRUE,glo_b1,l32,word,1,my,我的,word,
eng_glo_b1_l32_003,TRUE,glo_b1,l32,word,1,bread,麵包,thing,
eng_glo_b1_l32_004,TRUE,glo_b1,l32,word,1,store,商店,thing,
eng_glo_b1_l32_005,TRUE,glo_b1,l32,word,1,buy,買,action,
eng_glo_b1_l32_006,TRUE,glo_b1,l32,word,1,laugh,笑,action,
eng_glo_b1_l32_007,TRUE,glo_b1,l32,word,1,cry,哭,action,
eng_glo_b1_l32_008,TRUE,glo_b1,l32,word,1,angry,生氣的,feel,
eng_glo_b1_l32_009,TRUE,glo_b1,l32,word,1,scared,害怕的,feel,
eng_glo_b1_l32_010,TRUE,glo_b1,l32,word,1,plane,飛機,thing,
eng_glo_b1_l33_001,TRUE,glo_b1,l33,phrase,1,sit down,坐下,action,
eng_glo_b1_l33_002,TRUE,glo_b1,l33,word,1,those,那些,word,
eng_glo_b1_l33_003,TRUE,glo_b1,l33,word,1,tight,緊的,feel,
eng_glo_b1_l33_004,TRUE,glo_b1,l33,phrase,1,try on,試穿,action,
eng_glo_b1_l33_005,TRUE,glo_b1,l33,word,1,just right,剛剛好,feel,
eng_glo_b1_l33_006,TRUE,glo_b1,l33,word,1,lady,小姐；女士,people,
eng_glo_b1_l33_007,TRUE,glo_b1,l33,word,1,learn,學習,school,
eng_glo_b1_l33_008,TRUE,glo_b1,l33,word,1,English,英語,school,
eng_glo_b1_l33_009,TRUE,glo_b1,l33,word,1,study,唸書；研讀,school,
eng_glo_b1_l33_010,TRUE,glo_b1,l33,word,1,dress,洋裝,thing,
eng_glo_b1_l34_001,TRUE,glo_b1,l34,word,1,soccer,足球,thing,
eng_glo_b1_l34_002,TRUE,glo_b1,l34,word,1,warm,溫暖的,feel,
eng_glo_b1_l34_003,TRUE,glo_b1,l34,word,1,dinner,晚餐,thing,
eng_glo_b1_l34_004,TRUE,glo_b1,l34,word,1,food,食物,thing,
eng_glo_b1_l34_005,TRUE,glo_b1,l34,word,1,win,贏,action,
eng_glo_b1_l34_006,TRUE,glo_b1,l34,word,1,lose,輸,action,
eng_glo_b1_l34_007,TRUE,glo_b1,l34,word,1,buy,買,action,
eng_glo_b1_l34_008,TRUE,glo_b1,l34,word,1,sell,賣,action,
eng_glo_b1_l34_009,TRUE,glo_b1,l34,word,1,often,時常,word,
eng_glo_b1_l34_010,TRUE,glo_b1,l34,word,1,apple,蘋果,thing,
eng_glo_b1_l35_001,TRUE,glo_b1,l35,word,1,pretty,漂亮的,feel,
eng_glo_b1_l35_002,TRUE,glo_b1,l35,word,1,stamp,郵票,thing,
eng_glo_b1_l35_003,TRUE,glo_b1,l35,word,1,then,那麼,word,
eng_glo_b1_l35_004,TRUE,glo_b1,l35,word,1,two,兩個,thing,
eng_glo_b1_l35_005,TRUE,glo_b1,l35,word,1,collect,收集,action,
eng_glo_b1_l35_006,TRUE,glo_b1,l35,word,1,hear,聽,action,
eng_glo_b1_l35_007,TRUE,glo_b1,l35,word,1,noise,噪音,thing,
eng_glo_b1_l35_008,TRUE,glo_b1,l35,word,1,bus,公車,thing,
eng_glo_b1_l35_009,TRUE,glo_b1,l35,word,1,bus stop,公車站,thing,
eng_glo_b1_l35_010,TRUE,glo_b1,l35,word,1,wait,等待,action,
eng_glo_b1_l36_001,TRUE,glo_b1,l36,word,1,stingy,小氣的,feel,
eng_glo_b1_l36_002,TRUE,glo_b1,l36,word,1,generous,慷慨的,feel,
eng_glo_b1_l36_003,TRUE,glo_b1,l36,pattern,1,a little,一點點,word,
eng_glo_b1_l36_004,TRUE,glo_b1,l36,pattern,1,a lot,很多,word,
eng_glo_b1_l36_005,TRUE,glo_b1,l36,word,1,park,公園,thing,
eng_glo_b1_l36_006,TRUE,glo_b1,l36,word,1,people,人們,people,
eng_glo_b1_l36_007,TRUE,glo_b1,l36,word,1,show,給…看；展示,action,
eng_glo_b1_l36_008,TRUE,glo_b1,l36,word,1,ticket,票券,thing,
eng_glo_b1_l36_009,TRUE,glo_b1,l36,phrase,1,get on,上車,action,
eng_glo_b1_l36_010,TRUE,glo_b1,l36,phrase,1,get off,下車,action,
eng_glo_b1_l37_001,TRUE,glo_b1,l37,word,1,happy,高興的,feel,
eng_glo_b1_l37_002,TRUE,glo_b1,l37,word,1,student,學生,people,
eng_glo_b1_l37_003,TRUE,glo_b1,l37,word,1,twins,雙胞胎,people,
eng_glo_b1_l37_004,TRUE,glo_b1,l37,word,1,how many,多少,word,
eng_glo_b1_l37_005,TRUE,glo_b1,l37,word,1,popcorn,爆米花,thing,
eng_glo_b1_l37_006,TRUE,glo_b1,l37,word,1,push,推,action,
eng_glo_b1_l37_007,TRUE,glo_b1,l37,word,1,child,孩子,people,
eng_glo_b1_l37_008,TRUE,glo_b1,l37,word,1,chair,椅子,thing,
eng_glo_b1_l37_009,TRUE,glo_b1,l37,word,1,children,孩子們,people,
eng_glo_b1_l37_010,TRUE,glo_b1,l37,word,1,sad,難過的,feel,
eng_glo_b1_l38_001,TRUE,glo_b1,l38,pattern,1,he is,他是,word,
eng_glo_b1_l38_002,TRUE,glo_b1,l38,word,1,policeman,警員,people,
eng_glo_b1_l38_003,TRUE,glo_b1,l38,word,1,policemen,警員（複數）,people,
eng_glo_b1_l38_004,TRUE,glo_b1,l38,word,1,robot,機器人,thing,
eng_glo_b1_l38_005,TRUE,glo_b1,l38,word,1,policewomen,女警（複數）,people,
